2012/09/15 00:00:00<~>BNANY<~>GSM00347A<~>D03471<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM00347A<~>D03472<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM00347A<~>D03473<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM00347A<~>G03471<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM00347A<~>G03472<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM00347A<~>G03473<~>0
2012/09/15 00:00:00<~>BNANY<~>GSM00748A<~>G07481<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM00748A<~>G07482<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM00748A<~>G07483<~>98.57941717897954
2012/09/15 00:00:00<~>BNANY<~>GSM00748B<~>D07481<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM00748B<~>D07482<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM00748B<~>D07483<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM00946A<~>I09460<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM00983A<~>G09831<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM00983A<~>G09833<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM00994A<~>I09940<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01255A<~>G12551<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01255A<~>G12552<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01255A<~>G12553<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01264A<~>G12641<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01264A<~>G12642<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01264A<~>G12643<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01408A<~>G14081<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01408A<~>G14082<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01408A<~>G14083<~>100
2012/09/15 00:00:00<~>BNANY<~>GSM01408B<~>D14081<~>100
