2012/09/15 00:00:00<~>BNFSN<~>GSM01468A<~>G14683<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01469A<~>G14691<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01469A<~>G14692<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01469A<~>G14693<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01473A<~>G14731<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01473A<~>G14732<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01473A<~>G14733<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01474A<~>G14741<~>0
2012/09/15 00:00:00<~>BNFSN<~>GSM01474A<~>G14742<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01474A<~>G14743<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01475A<~>G14751<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01475A<~>G14752<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01476A<~>G14761<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01476A<~>G14762<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01476A<~>G14763<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01752A<~>D17521<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01752A<~>D17522<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01752A<~>D17523<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01752A<~>G17521<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01752A<~>G17522<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01752A<~>G17523<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01885A<~>D18851<~>98.0770566579453
2012/09/15 00:00:00<~>BNFSN<~>GSM01885A<~>D18852<~>98.03655981199134
2012/09/15 00:00:00<~>BNFSN<~>GSM01885A<~>D18853<~>98.26586249609298
2012/09/15 00:00:00<~>BNFSN<~>GSM01885A<~>G18851<~>98.80751151967027
2012/09/15 00:00:00<~>BNFSN<~>GSM01885A<~>G18852<~>98.82493227442173
2012/09/15 00:00:00<~>BNFSN<~>GSM01885A<~>G18853<~>98.34327062228654
2012/09/15 00:00:00<~>BNFSN<~>GSM01886A<~>D18861<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01886A<~>D18862<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01886A<~>D18863<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01886A<~>G18861<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01886A<~>G18862<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01886A<~>G18863<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01891A<~>G18912<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01891A<~>G18913<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01909A<~>G19091<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01909A<~>G19092<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01909A<~>G19093<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01917A<~>G19171<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01917A<~>G19172<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM01917A<~>G19173<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM02907A<~>I29071<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM02907A<~>I29072<~>99.98495231039911
2012/09/15 00:00:00<~>BNFSN<~>GSM03544A<~>G35441<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03544A<~>G35443<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03546A<~>G35461<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03546A<~>G35462<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03546A<~>G35463<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03547A<~>D35471<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03547A<~>D35472<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03547A<~>G35471<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03547A<~>G35472<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03547A<~>G35473<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03548A<~>G35481<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03548A<~>G35482<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03548A<~>G35483<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM03549A<~>G35491<~>99.93865101688833
2012/09/15 00:00:00<~>BNFSN<~>GSM03549A<~>G35492<~>99.94096675618113
2012/09/15 00:00:00<~>BNFSN<~>GSM03549A<~>G35493<~>99.94096675618113
2012/09/15 00:00:00<~>BNFSN<~>GSM04126A<~>G41261<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM04126A<~>G41262<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM04126A<~>G41263<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM04154A<~>G41541<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM04154A<~>G41542<~>100
2012/09/15 00:00:00<~>BNFSN<~>GSM04154A<~>G41543<~>100
